HouseholdRole,Age,Sex,Education,MonthlyIncome,IncomeLevel,IndustryCode,HouseholdSES,HouseholdItem,PeriodStay,FamilySES,MeanSES,Ketena
1,38,0,6,1000,Medium,14.1,,3,18,2,2.5,1
0,35,1,,,,,,,,,,1
0,13,1,8,,,,,,,,,1
0,6,1,1,,,,,,,,,1
0,13,1,,,,,,,,,,1
1,45,0,9,1500,Medium,6,,3,18,2,2.5,1
0,37,1,6,,,,,,,,,1
0,22,0,10,,,,,,,,,1
0,21,0,10,,,,,,,,,1
0,20,1,9,,,,,,,,,1
0,18,0,7,,,,,,,,,1
0,8,0,1,,,,,,,,,1
1,25,0,10,,,,,,,3,3,1
1,50,0,8,5000,High,98,,3,15,3,3,1
0,49,1,,,,,,,,,,1
0,19,1,12.5,,,,,,,,,1
0,14,0,6,,,,,,,,,1
1,35,0,6,600,Medium,6,,2,6,2,2,1
0,25,1,6,,,,,,,,,1
0,39,0,98,,,,,,,,,1
1,35,0,,600,Medium,6,,2,6,2,2,1
0,25,1,,,,,,,,,,1
0,4,1,,,,,,,,,,1
0,13,0,6,,,,,,,,,1
1,35,0,,600,Medium,6,,2,18,2,2,1
0,32,1,6,,,,,,,,,1
0,6,0,98,,,,,,,,,1
1,38,0,8,1000,Medium,6,,3,20,3,3,1
0,30,1,4,,,,,,,,,1
0,20,1,12,,,,,,,,,1
0,12,1,4,,,,,,,,,1
1,45,1,3,2000,Medium,12,,3,45,3,3,1
0,10,0,3,0,Low,,3,2,10.9,1,2,1
0,14,1,4,,,,,,,,,1
1,35,0,3,,,,,,,,,1
0,35,1,0,,,,,,,,,1
0,18,1,10,,,,,,,,,1
0,17,1,8,,,,,,,,,1
0,12,0,3,,,,,,,,,1
0,4,1,98,,,,,,,,,1
1,24,0,11,3000,High,,3,3,7.9,2,2.666666667,1
0,24,0,10,500,Low,,,,,,,1
0,23,0,8,500,Low,,,,,,,1
1,32,0,6,500,Low,3,3,2,2.9,2,2.333333333,1
0,20,1,6,,,,,,,,,1
0,21,0,4,500,Low,,,,,,,1
0,20,0,8,,,,,,,,,1
1,25,1,6,500,Low,7,3,3,98,2,2.666666667,1
0,24,1,10,,,,,,,,,1
1,20,0,5,500,Low,7,3,2,98,2,2.333333333,1
0,22,0,10,,,,1,3,,2,2,1
1,53,0,8,300,Low,8,1,3,,2,2,1
0,40,1,10,,,,,,,,,1
0,3,0,96,,,,,,,,,1
1,29,0,10,1000,Medium,18,3,3,1.9,2,2.666666667,1
0,24,1,8,,,,,,,,,1
0,1,0,,,,,,,,,,1
0,18,1,8,,,,,,,,,1
,23,1,10,1000,Medium,14,3,2,98,1,2,1
,29,0,12,3000,High,8,3,2,2.9,3,2.666666667,1
0,24,1,10,,,,,,,,,1
0,1,0,,,,,,,,,,1
1,18,0,10,3000,High,8,3,3,8.9,3,3,1
0,25,1,1,,,,,,,,,1
0,2,1,,,,,,,,,,1
,25,1,10,,,,1,3,25.9,2,2,1
1,30,0,10,2000,Medium,98,1,3,,,2,1
0,2,0,,,,,,,,,,1
1,31,0,,1500,Medium,7,3,2,2,2,2.333333333,1
0,30,1,,,,,,,,,,1
0,4,1,98,,,,,,,,,1
1,25,1,,1500,Medium,7.21,3,2,3,2,2.333333333,1
0,22,1,,,,,,,,,,1
1,28,0,10,1000,Medium,3,3,2,2,2,2.333333333,1
0,26,1,8,,,,,,,,,1
0,7,0,2,,,,,,,,,1
0,1,0,,,,,,,,,,1
0,15,1,7,,,,,,,,,1
1,28,0,13,3500,High,15,3,2,4,2,2.333333333,1
0,27,1,13,3000,High,15,,,,,,1
0,2,1,,,,,,,,,,1
0,14,1,1,,,,,,,,,1
1,26,0,10,2000,Medium,98,1,1,26,3,1.666666667,1
1,26,0,12,200,Low,98,3,2,98,2,2.333333333,1
0,23,1,12,,,,,,,,,1
1,31,0,8,300,Low,7,3,2,3,2,2.333333333,1
0,25,1,3,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,42,0,11,2000,Medium,98,1,,19,3,2,1
0,38,1,7,,,,,,,,,1
0,18,1,11,,,,,,,,,1
0,14,1,7,,,,,,,,,1
0,8,0,2,,,,,,,,,1
0,27,0,13,,,,,,,,,1
1,55,0,10,1500,Medium,98,1,2,30,3,2,1
0,47,1,4,,,,,,,,,1
0,30,1,,,,,,,,,,1
0,15,1,8,,,,,,,,,1
0,8,0,3,,,,,,,,,1
1,65,0,5,1000,Medium,12,2,2,30,1,1.666666667,1
0,46,1,8,,,,,,,,,1
0,7,1,1,,,,,,,,,1
1,37,0,,1000,Medium,6,,2,3,2,2,1
0,30,1,,,,,,,,,,1
0,2,1,,,,,,,,,,1
,38,0,8,600,Medium,14.1,,2,8,2,2,1
0,12,0,5,,,,,,,,,1
1,56,0,7,1000,Medium,99,3,3,15,3,3,1
0,40,1,10,,,,,,,,,1
0,28,0,13,,,,,,,,,1
0,23,1,10,,,,,,,,,1
0,19,1,8,,,,,,,,,1
0,17,1,12,,,,,,,,,1
1,28,1,10,1000,Medium,6,,2,7,3,2.5,1
0,8,1,2,,,,,,,,,1
1,26,0,8,200,Low,,,2,2,2,2,1
1,25,0,11,250,Low,,,2,6,2,2,1
0,22,1,8,,,,,,,,,1
0,2,0,,,,,,,,,,1
1,35,0,8,2000,Medium,7,3,3,8,3,3,1
0,25,1,4,,,,,,,,,1
0,12,0,7,,,,,,,,,1
0,10,1,5,,,,,,,,,1
0,8,1,3,,,,,,,,,1
0,5,1,98,,,,,,,,,1
0,60,1,,,,,,,,,,1
1,46,1,6,1800,Medium,6,,3,15,2,2.5,1
0,15,1,8,,,,,,,,,1
0,19,0,11,,,,,,,,,1
1,27,0,8,1500,Medium,6,,2,6,2,2,1
0,18,1,10,,,,,,,,,1
1,50,1,,500,Low,6,,1,14,2,1.5,1
0,15,0,8,,,,,,,,,1
1,24,1,5,500,Low,6,,1,6,2,1.5,1
0,2,0,,,,,,,,,,1
1,25,1,,,,,,1,20,1,1,1
0,13,1,7,,,,,,,,,1
1,36,0,10,1500,Medium,98,,2,11,2,2,1
0,26,1,6,,,,,,,,,1
0,,0,,,,,,,,,,1
1,30,0,5,600,Medium,6,,2,30,2,2,1
0,24,1,4,,,,,,,,,1
0,5,1,98,,,,,,,,,1
1,30,0,10,1500,Medium,15,,3,5,2,2.5,1
0,27,1,6,,,,,,,,,1
0,4,0,98,,,,,,,,,1
1,27,1,,500,Low,6,,1,15,2,1.5,1
0,29,1,10,,,,,,,,,1
1,38,1,,,,,,1,15,1,1,1
0,16,0,5,,,,,,,,,1
1,40,0,,1000,Medium,6,,2,6,2,2,1
0,27,1,,,,,,,,,,1
0,5,0,98,,,,,,,,,1
0,,0,,,,,,,,,,1
0,8,1,2,,,,,,,,,1
0,32,1,8,,,,,,,,,1
0,10,0,4,,,,,,,,,1
0,8,0,,,,,,,,,,1
1,20,1,10,1000,Medium,6,,2,1,2,2,1
0,25,0,12,,,,,,,,,1
1,28,1,8,800,Medium,6,,2,15,2,2,1
0,14,0,8,,,,,,,,,1
1,32,1,,700,Medium,6,,2,20,2,2,1
1,30,0,8,5000,High,98,,2,1,3,2.5,1
0,25,1,8,,,,,,,,,1
1,73,0,5,500,Low,6,1,3,30,2,2,1
0,42,1,12.5,,,,,,,,,1
0,22,0,8,,,,,,,,,1
1,39,0,8,1500,Medium,6,1,3,20,3,2.333333333,1
0,40,1,12,,,,,,,,,1
0,40,1,5,,,,,,,,,1
0,11,0,98,,,,,,,,,1
0,7,1,8,,,,,,,,,1
1,16,1,5,1500,Medium,6,1,3,15,3,2.333333333,1
0,38,0,8,,,,,,,,,1
0,35,1,11,,,,,,,,,1
0,16,1,98,,,,,,,,,1
0,5,0,7,,,,,,,,,1
0,24,0,5,,,,,,,,,1
1,20,1,14,15000,High,15,3,3,98,3,3,1
1,26,0,10,2000,Medium,98,3,3,2,3,3,1
0,28,0,10,,,,,,,,,1
0,22,1,,,,,,,,,,1
1,1,1,8,2000,Medium,98,3,3,20,3,3,1
0,49,0,8,,,,,,,,,1
0,34,1,98,,,,,,,,,1
0,4,0,,,,,,,,,,1
0,70,1,7,,,,,,,,,1
1,18,0,10,1000,Medium,98,3,2,10,2,2.333333333,1
0,23,1,,,,,,,,,,1
1,3,1,4,3000,High,12,3,3,6,3,3,1
0,60,0,10,,,,,,,,,1
0,45,1,8,,,,,,,,,1
0,13,0,4,1000,Medium,6,2,2,6,2,2,1
0,9,1,3,,,,,,,,,1
0,13,0,9,,,,,,,,,1
1,45,0,3,3000,High,12,3,3,30,3,3,1
0,50,1,3,,,,,,,,,1
0,27,1,14,,,,,,,,,1
0,20,1,12.5,,,,,,,,,1
0,16,0,9,,,,,,,,,1
0,21,0,8,,,,,,,,,1
1,25,1,7,,,,,,,,,1
0,6,1,98,200,Low,6,2,2,11,2,2,1
1,40,0,10,,,,,,,,,1
0,29,1,,2000,Medium,,,,10,2,2,1
0,1,0,,,,,,,,,,1
0,8,0,3,,,,,,,,,1
1,30,0,,,,,,,,,,1
0,25,1,,1000,Medium,,,,14,2,2,1
0,4,0,98,,,,,,,,,1
0,15,1,6,,,,,,,,,1
1,35,0,9,,,,,,,,,1
0,29,1,4,2000,Medium,98,,,19,2,2,1
0,12,1,6,,,,,,,,,1
1,28,0,8,,,,,,,,,1
0,21,1,6,2000,Medium,,,,3,2,2,1
1,45,1,,,,,,,,,,1
0,25,1,10,0,Low,,,,3,1,1,1
0,8,1,2,,,,,,,,,1
0,3,1,,,,,,,,,,1
1,23,0,6,,,,,,,,,1
0,24,1,5,1500,Medium,6,,,2,2,2,1
1,30,0,,1500,Medium,6,,,2,2,2,1
0,30,1,5,,,,,,,,,1
0,5,0,98,,,,,,,,,1
0,2,1,,,,,,,,,,1
1,29,0,12,2000,Medium,,,,2,2,2,1
0,19,1,6,,,,,,,,,1
1,60,1,,,,,1,1,10,1,1,1
0,19,0,8,,,,,,,,,1
0,17,1,10,,,,,,,,,1
1,50,1,12,,,99,1,1,11,1,1,1
0,40,0,10,,,,,,,,,1
0,17,0,10,,,,,,,,,1
0,26,1,9,,,,,,,,,1
0,39,1,10,,,,,,,,,1
0,80,1,,,,,,,,,,1
0,29,0,10,,,,,,,,,1
0,8,1,1,,,,,,,,,1
1,38,0,6,,,,,,,,,1
0,30,1,10,1000,Medium,6,2,2,15,2,2,1
0,15,1,10,,,,,,,,,1
0,14,1,9,,,,,,,,,1
0,8,1,2,,,,,,,,,1
0,1,1,,,,,,,,,,1
0,1,1,,,,,,,,,,1
1,40,0,4,3000,High,12,2,2,15,2,2,1
0,34,1,8,,,,,,,,,1
0,21,1,12.5,,,,,,,,,1
0,17,0,11,,,,,,,,,1
0,4,0,98,,,,,,,,,1
0,3,0,98,,,,,,,,,1
1,60,0,12,1500,Medium,12,1,1,17,1,1,1
0,45,1,8,,,,,,,,,1
0,18,0,12,,,,,,,,,1
0,12,1,7,,,,,,,,,1
1,29,0,13,3000,High,,3,3,4,2,2.666666667,1
0,25,1,,,,,,,,,,1
1,30,0,10,2000,Medium,7,2,2,1,2,2,1
0,8,0,4,,,,,,,,,1
0,14,0,9,,,,,,,,,1
1,49,0,8,1000,Medium,6,3,2,9,2,2.333333333,1
0,31,1,4,,,,,,,,,1
0,16,1,8,,,,,,,,,1
0,13,0,8,,,,,,,,,1
1,70,1,6,1000,Medium,12,1,1,25,2,1.333333333,1
1,45,0,4,1500,Medium,14.1,1,2,20,2,1.666666667,1
0,38,1,7,,,,,,,,,1
0,20,0,10,,,,,,,,,1
0,15,0,9,,,,,,,,,1
0,6,0,98,,,,,,,,,1
1,25,0,5,1000,Medium,19,3,1,19,2,2,1
0,16,0,4,,,,,,,,,1
,,0,,,,,,,,,,1
1,26,0,10,1000,Medium,6,3,2,5,2,2.333333333,1
1,46,0,3,2500,High,98,1,3,30,3,2.333333333,1
0,40,1,5,,,,,,,,,1
0,18,1,12,,,,,,,,,1
0,16,1,8,,,,,,,,,1
0,13,1,5,,,,,,,,,1
1,28,0,6,1000,Medium,6,3,2,5,2,2.333333333,1
