duration,enum,ignore,ignore_2,person_id,wereda,treatmentcontrol,age,ketena,relationship,education,partner_education,norms_1_treatment,norms_2_treatment,femaletrait_treatment,femaletrait_treatment_recode_1,femaletrait_treatment_recode_2,femaletrait_treatment_recode_3,femaletrait_treatment_recode_mean,ideal_employee_treatment,ideal_employee_treatment_1,ideal_employee_treatment_2,ideal_employee_treatment_3,ideal_employee_treatment_4,ideal_employee_treatment_5,ideal_employee_treatment_6,ideal_employee_treatment_98,employed_treatment,job_treatment,previous_job_treatment,previous_job_treatment_id,job_id_treatment_total,partner_employed_treatment,partner_job_treatment,partner_job_treatment_id,coworker_classmate_treatment,previous_coworker_classmate_treatment,coworker_classmate_treatment_total,supervisor_treatment,previous_supervisor_treatment,supervisor_treatment_total,values_1,values_2,values_3,values_4,attitudes_grt_1,attitudes_grt_4,attitudes_grt_3,gender_att_exp_1,attitudes_grt_2,gender_att_exp_2,attitudes_force_1,attitudes_force_2,attitudes_force_3,attitudes_force_4,ideal_employee,ideal_employee_1,ideal_employee_2,ideal_employee_3,ideal_employee_4,ideal_employee_5,ideal_employee_6,ideal_employee_98,norms_1,norms_2,femaletrait,femaletrait_recode_1,femaletrait_recode_2,femaletrait_recode_3,femaletrait_recode_3_mean,employed,job,job_id,previous_job,previous_job_id,job_id_total,partner_employed,partner_job,partner_job_id,coworker_classmate,previous_coworker_classmate,coworker_classmate_total,supervisor,previous_supervisor,supervisor_total,norms_1_com,norms_2_com,femaletrait_recode_com,ideal_employee_com,employed_com,job_id_com,partner_employed_com,partner_job_id_com,supervisor_com,coworker_classmate_com,military,living_situation,chores,ses,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_98
2171,1,0,0,11810504,1,0.451174467,38,9,1,2,97,0,0,Respect others,0,,,0,1 4 6,1,0,0,1,0,1,0,0,,Construction,6,6,0,,,,2,2,,0,0,1,2,2,2,0,-1,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1 4 6,0,6,0,,0,2,1,,3,1 6,1,0,0,0,0,1,0
1894,1,0,0,11810921,1,0.262707576,37,2,1,3,3,-1,-1,Roll model /Perform exemplary,0,1,,0.5,2 4 5,0,1,0,1,1,0,0,1,sanitary,,,14.11,0,,,2,,2,2,,2,4,4,3,3,-1,0,-1,,1,,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.5,2 4 5,1,14.11,0,,2,2,1,,1,3,0,0,1,0,0,0,0
1299,1,0,0,11811047,1,0.94722169,40,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,98,0,-1,,98,,4,4,4,4,2 3 4,0,1,1,1,0,0,0,-1,1,,,,,,0,,,Street vender,7.11,7.11,0,,,,2,2,,2,2,-1,1,,2 3 4,0,7.11,0,,2,2,0,,3,1,1,0,0,0,0,0,0
1826,3,0,1,12310306,1,0.203055023,68,8,1,3,5,1,-1,Complete task well and they are personable,1,0,,0.5,1 2 6,1,1,0,0,0,1,0,0,,Mechanic and Driver,8,8,1,School administrator,16,,2,2,,0,0,4,4,2,4,98,0,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0.5,1 2 6,0,8,1,16,0,2,1,,3,1 2 3 5 6,1,1,1,0,1,1,0
1635,3,0,1,12310106,1,0.201216288,25,2,0,2,,0,0,,,,,,1 3,1,0,1,0,0,0,0,1,Water supply,,,5,,,,3,,3,2,,2,2,4,4,4,0,0,0,,0,,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,5,,,2,3,98,2,3,3,0,0,1,0,0,0,0
1923,3,0,1,12310358,1,0.03500481,40,3,1,3,2,0,0,"Quality work, Hard working and Obedience",1,1,0,0.666666667,2 3,0,1,1,0,0,0,0,0,,Day labor,97,97,1,Retail trade,7,,3,3,,2,2,4,98,4,4,98,0,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.666666667,,0,97,1,7,2,3,1,,0,1 6,1,0,0,0,0,1,0
1747,3,0,1,12310158,1,0.124708683,,97,0,4,,0,0,,,,,,2 4,0,1,0,1,0,0,0,1,Construction (GLASS),,,6,,,,2,,2,0,,0,4,2,2,1,0,0,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,6,,,0,2,0,3,2,2 3 6,0,1,1,0,0,1,0
2405,3,0,1,12210473,1,0.573361634,28,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,0,0,,1,,4,4,4,4,1 4,1,0,0,1,0,0,0,-1,-1,Good service giving,0,,,0,0,,,Day labor,97,97,,,,,2,2,,0,0,-1,-1,0,,0,97,,,0,2,1,3,3,1 3,1,0,1,0,0,0,0
1523,3,0,1,12210470,1,0.708372291,31,8,1,2,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,0,-1,-1,,1,,2,2,2,4,98,0,0,0,0,0,0,1,98,-1,,,,,,1,Construction,6,,,6,0,,,2,,2,0,,0,98,-1,,98,1,6,0,,0,2,0,,1,1 3,1,0,1,0,0,0,0
2209,1,0,0,11810629,1,0.648241437,27,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,98,1,0,1,0,,1,,4,3,4,4,1 4 6,1,0,0,1,0,1,0,-1,0,Obedient and Punctual,0,0,,0,1,Broker,19.1,,,19.1,1,Domestic Worker,20,3,,3,0,,0,-1,0,0,1 4 6,1,19.1,1,20,0,3,1,,3,1 3 6,1,0,1,0,0,1,0
